,word_path,content,font,author,work_id,position
90,images/cursive/mi-fu/DP118649/8.jpg,艘,cursive,mi-fu,DP118649,"[1003, 483, 1248, 738]"
98,images/cursive/mi-fu/DP118649/16.jpg,皆,cursive,mi-fu,DP118649,"[1059, 743, 1179, 869]"
99,images/cursive/mi-fu/DP118649/17.jpg,我,cursive,mi-fu,DP118649,"[64, 363, 331, 647]"
100,images/cursive/mi-fu/DP118649/18.jpg,起,cursive,mi-fu,DP118649,"[1288, 523, 1472, 708]"
101,images/cursive/mi-fu/DP118649/19.jpg,昨,cursive,mi-fu,DP118649,"[1301, 59, 1519, 282]"
104,images/cursive/mi-fu/DP118649/22.jpg,東,cursive,mi-fu,DP118649,"[59, 83, 311, 346]"
106,images/cursive/mi-fu/DP118649/24.jpg,今,cursive,mi-fu,DP118649,"[717, 607, 981, 829]"
108,images/cursive/mi-fu/DP118649/26.jpg,轉,cursive,mi-fu,DP118649,"[408, 312, 656, 573]"
109,images/cursive/mi-fu/DP118649/27.jpg,風,cursive,mi-fu,DP118649,"[1283, 276, 1530, 523]"
110,images/cursive/mi-fu/DP118649/28.jpg,風,cursive,mi-fu,DP118649,"[398, 82, 682, 345]"
111,images/cursive/mi-fu/DP118649/29.jpg,北,cursive,mi-fu,DP118649,"[1040, 80, 1207, 240]"
112,images/cursive/mi-fu/DP118649/30.jpg,便,cursive,mi-fu,DP118649,"[722, 357, 948, 588]"
113,images/cursive/mi-fu/DP118649/31.jpg,西,cursive,mi-fu,DP118649,"[1288, 763, 1406, 882]"
115,images/cursive/mi-fu/DP118649/33.jpg,而,cursive,mi-fu,DP118649,"[438, 617, 600, 779]"
120,images/cursive/mi-fu/DP118658/4.jpg,米,cursive,mi-fu,DP118658,"[164, 248, 436, 560]"
121,images/cursive/mi-fu/DP118658/5.jpg,元,cursive,mi-fu,DP118658,"[174, 574, 415, 813]"
123,images/cursive/mi-fu/DP118658/7.jpg,舟,cursive,mi-fu,DP118658,"[981, 585, 1163, 780]"
124,images/cursive/mi-fu/DP118658/8.jpg,紙,cursive,mi-fu,DP118658,"[1327, 246, 1579, 495]"
125,images/cursive/mi-fu/DP118658/9.jpg,作,cursive,mi-fu,DP118658,"[543, 637, 760, 854]"
126,images/cursive/mi-fu/DP118658/10.jpg,吳,cursive,mi-fu,DP118658,"[1336, 559, 1539, 765]"
139,images/cursive/mi-fu/DP118660/11.jpg,之,cursive,mi-fu,DP118660,"[1135, 612, 1285, 709]"
142,images/cursive/mi-fu/DP118660/14.jpg,書,cursive,mi-fu,DP118660,"[1850, 1224, 1997, 1337]"
148,images/cursive/mi-fu/DP118660/20.jpg,古,cursive,mi-fu,DP118660,"[947, 1282, 1087, 1392]"
152,images/cursive/mi-fu/DP118660/24.jpg,喻,cursive,mi-fu,DP118660,"[1134, 696, 1302, 835]"
161,images/cursive/mi-fu/DP118660/33.jpg,真,cursive,mi-fu,DP118660,"[788, 937, 932, 1055]"
174,images/cursive/mi-fu/DP118660/46.jpg,玉,cursive,mi-fu,DP118660,"[2383, 294, 2542, 437]"
175,images/cursive/mi-fu/DP118660/47.jpg,觀,cursive,mi-fu,DP118660,"[1321, 969, 1478, 1079]"
178,images/cursive/mi-fu/DP118660/50.jpg,研,cursive,mi-fu,DP118660,"[1850, 946, 1998, 1069]"
179,images/cursive/mi-fu/DP118660/51.jpg,作,cursive,mi-fu,DP118660,"[1662, 510, 1817, 610]"
180,images/cursive/mi-fu/DP118660/52.jpg,不,cursive,mi-fu,DP118660,"[2210, 1237, 2358, 1344]"
184,images/cursive/mi-fu/DP118660/56.jpg,好,cursive,mi-fu,DP118660,"[2216, 905, 2375, 1010]"
186,images/cursive/mi-fu/DP118660/58.jpg,字,cursive,mi-fu,DP118660,"[2395, 898, 2529, 1024]"
187,images/cursive/mi-fu/DP118660/59.jpg,都,cursive,mi-fu,DP118660,"[1491, 588, 1647, 724]"
188,images/cursive/mi-fu/DP118660/60.jpg,筆,cursive,mi-fu,DP118660,"[1690, 1107, 1821, 1263]"
192,images/cursive/mi-fu/DP118660/64.jpg,在,cursive,mi-fu,DP118660,"[2560, 657, 2722, 780]"
195,images/cursive/mi-fu/DP118660/67.jpg,明,cursive,mi-fu,DP118660,"[1318, 497, 1464, 611]"
198,images/cursive/mi-fu/DP118660/70.jpg,腕,cursive,mi-fu,DP118660,"[949, 292, 1114, 421]"
199,images/cursive/mi-fu/DP118660/71.jpg,長,cursive,mi-fu,DP118660,"[2572, 541, 2727, 670]"
201,images/cursive/mi-fu/DP118660/73.jpg,積,cursive,mi-fu,DP118660,"[1845, 1077, 2006, 1216]"
204,images/cursive/mi-fu/DP118660/76.jpg,陣,cursive,mi-fu,DP118660,"[1136, 439, 1306, 590]"
207,images/cursive/mi-fu/DP118660/79.jpg,後,cursive,mi-fu,DP118660,"[612, 1214, 770, 1353]"
213,images/cursive/mi-fu/DP118660/85.jpg,餘,cursive,mi-fu,DP118660,"[611, 1518, 783, 1622]"
216,images/cursive/mi-fu/DP118660/88.jpg,觀,cursive,mi-fu,DP118660,"[2207, 279, 2368, 412]"
218,images/cursive/mi-fu/DP118660/90.jpg,華,cursive,mi-fu,DP118660,"[2025, 1014, 2191, 1198]"
221,images/cursive/mi-fu/DP118660/93.jpg,經,cursive,mi-fu,DP118660,"[1304, 284, 1469, 464]"
227,images/cursive/mi-fu/DP118648/5.jpg,郭,cursive,mi-fu,DP118648,"[497, 413, 578, 499]"
234,images/cursive/mi-fu/DP118648/12.jpg,禎,cursive,mi-fu,DP118648,"[437, 477, 521, 558]"
250,images/cursive/mi-fu/DP118648/28.jpg,下,cursive,mi-fu,DP118648,"[566, 1614, 685, 1733]"
251,images/cursive/mi-fu/DP118648/29.jpg,源,cursive,mi-fu,DP118648,"[364, 1066, 450, 1152]"
252,images/cursive/mi-fu/DP118648/30.jpg,崇,cursive,mi-fu,DP118648,"[433, 391, 517, 476]"
254,images/cursive/mi-fu/DP118648/32.jpg,其,cursive,mi-fu,DP118648,"[541, 1454, 692, 1608]"
258,images/cursive/mi-fu/DP118648/36.jpg,仙,cursive,mi-fu,DP118648,"[696, 413, 813, 525]"
262,images/cursive/mi-fu/DP118648/40.jpg,林,cursive,mi-fu,DP118648,"[422, 1344, 517, 1438]"
265,images/cursive/mi-fu/DP118648/43.jpg,亭,cursive,mi-fu,DP118648,"[685, 1077, 814, 1211]"
266,images/cursive/mi-fu/DP118648/44.jpg,飛,cursive,mi-fu,DP118648,"[688, 258, 833, 407]"
268,images/cursive/mi-fu/DP118648/46.jpg,觀,cursive,mi-fu,DP118648,"[345, 1276, 440, 1381]"
269,images/cursive/mi-fu/DP118648/47.jpg,擬,cursive,mi-fu,DP118648,"[573, 479, 692, 599]"
271,images/cursive/mi-fu/DP118648/49.jpg,深,cursive,mi-fu,DP118648,"[707, 627, 842, 761]"
272,images/cursive/mi-fu/DP118648/50.jpg,得,cursive,mi-fu,DP118648,"[720, 783, 822, 890]"
273,images/cursive/mi-fu/DP118648/51.jpg,蘭,cursive,mi-fu,DP118648,"[698, 924, 832, 1060]"
274,images/cursive/mi-fu/DP118648/52.jpg,獻,cursive,mi-fu,DP118648,"[809, 990, 948, 1129]"
275,images/cursive/mi-fu/DP118648/53.jpg,飄,cursive,mi-fu,DP118648,"[816, 1448, 944, 1579]"
280,images/cursive/mi-fu/DP118648/58.jpg,規,cursive,mi-fu,DP118648,"[713, 1491, 811, 1589]"
288,images/cursive/mi-fu/DP118654/7.jpg,竇,cursive,mi-fu,DP118654,"[448, 40, 768, 396]"
289,images/cursive/mi-fu/DP118654/8.jpg,無,cursive,mi-fu,DP118654,"[62, 326, 334, 587]"
290,images/cursive/mi-fu/DP118654/9.jpg,鸎,cursive,mi-fu,DP118654,"[811, 622, 1032, 866]"
291,images/cursive/mi-fu/DP118654/10.jpg,如,cursive,mi-fu,DP118654,"[1682, 372, 1896, 565]"
292,images/cursive/mi-fu/DP118654/11.jpg,傍,cursive,mi-fu,DP118654,"[807, 74, 1054, 330]"
293,images/cursive/mi-fu/DP118654/12.jpg,噉,cursive,mi-fu,DP118654,"[1676, 69, 1936, 344]"
294,images/cursive/mi-fu/DP118654/13.jpg,湖,cursive,mi-fu,DP118654,"[442, 414, 668, 644]"
295,images/cursive/mi-fu/DP118654/14.jpg,觀,cursive,mi-fu,DP118654,"[797, 349, 1067, 626]"
296,images/cursive/mi-fu/DP118654/15.jpg,渺,cursive,mi-fu,DP118654,"[459, 669, 656, 870]"
300,images/cursive/mi-fu/DP118656/3.jpg,江,cursive,mi-fu,DP118656,"[1525, 104, 1789, 385]"
303,images/cursive/mi-fu/DP118656/6.jpg,一,cursive,mi-fu,DP118656,"[320, 622, 595, 888]"
306,images/cursive/mi-fu/DP118656/9.jpg,乘,cursive,mi-fu,DP118656,"[793, 382, 1025, 626]"
308,images/cursive/mi-fu/DP118656/11.jpg,時,cursive,mi-fu,DP118656,"[784, 619, 1030, 870]"
309,images/cursive/mi-fu/DP118656/12.jpg,須,cursive,mi-fu,DP118656,"[778, 117, 1028, 370]"
310,images/cursive/mi-fu/DP118656/13.jpg,汝,cursive,mi-fu,DP118656,"[369, 97, 611, 337]"
311,images/cursive/mi-fu/DP118656/14.jpg,來,cursive,mi-fu,DP118656,"[373, 347, 630, 607]"
325,images/cursive/mi-fu/DP118659/13.jpg,嵩,cursive,mi-fu,DP118659,"[601, 304, 661, 389]"
326,images/cursive/mi-fu/DP118659/14.jpg,喻,cursive,mi-fu,DP118659,"[151, 347, 225, 423]"
333,images/cursive/mi-fu/DP118659/21.jpg,伯,cursive,mi-fu,DP118659,"[326, 545, 407, 599]"
